2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/NameUniv/#text:	Connector, Flowchart
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Print/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Snap/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Status/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Visible/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer@IX:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/BegTrigger/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/BegTrigger@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/Calendar/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/Calendar@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/Comment@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/DropOnPageScale/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/DropOnPageScale@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/DynFeedback/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/DynFeedback@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/EndTrigger/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/EndTrigger@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/GlueType/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/GlueType@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/HideText/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/HideText@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/IsDropSource/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/IsDropSource@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/LangID/#text:	1033
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/LangID@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/LocalizeMerge/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/LocalizeMerge@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoAlignBox/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoAlignBox@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoCtlHandles/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoCtlHandles@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoLiveDynamics/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoLiveDynamics@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoObjHandles/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NoObjHandles@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NonPrinting/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/NonPrinting@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/ObjType/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/ObjType@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/ShapeKeywords/#text:	Data,type,flowchart,basic,information,flow,process,joiner,association,business,process,Six,6,Sigma,ISO,9000, Decision,Yes/No,flowchart,basic,information,flow,data,process,joiner,association,business,process,Six,6,Sigma,ISO,9000, Process,function,task,Basic,Flowchart,flow,data,process,joiner,association,business,process,Six,6,Sigma,ISO,9000, arrow,arrowhead,fancy,single,business,process, operation,manual,basic,flowchart,information,flow,data,process,joiner,association,business,process,Six,6,Sigma,ISO,9000
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/UpdateAlignBox/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/UpdateAlignBox@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/WalkPreference/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/WalkPreference@F:	Inh
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/DrawingScale/#text:	0.03937007874015748
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/DrawingScale@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/DrawingScaleType/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/DrawingSizeType/#text:	4
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/InhibitSnap/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/InhibitSnap@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageHeight/#text:	3.937007874015748
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageHeight@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageScale/#text:	0.03937007874015748
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageScale@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageWidth/#text:	3.937007874015748
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/PageWidth@Unit:	MM
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwObliqueAngle/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/PageProps/ShdwObliqueAngle@F:	No Formula
